epoch,supcon_loss,val_supcon_loss,lr
52,4.1433917392383925,4.142704010009766,6.184665997806817e-06
53,4.143814303658226,4.142617702484131,4.75864737669903e-06
54,4.143437168814919,4.141744136810303,3.5111757055874303e-06
55,4.143200527537953,4.143336772918701,2.4471741852423216e-06
56,4.143658551302823,4.142197132110596,1.5708419435684504e-06
57,4.143287658691406,4.143081188201904,8.856374635655631e-07
58,4.143598426472057,4.140462875366211,3.942649342761114e-07
59,4.143516757271507,4.143314838409424,9.866357858642197e-08
60,4.144418369640004,4.142974853515625,0.0
1,5.200837048617276,4.799552917480469,0.00010899999999999999
2,4.272998289628462,4.149288177490234,0.000208
3,4.144621458920565,4.143497467041016,0.0003069999999999999
4,4.143658594651655,4.14258337020874,0.00040599999999999995
5,4.143357450311834,4.143155097961426,0.000505
6,4.143144390799782,4.143504619598389,0.000604
7,4.143417618491433,4.142974376678467,0.0007030000000000001
8,4.1430698308077725,4.143075942993164,0.0008020000000000001
9,4.143359444358132,4.142824172973633,0.0009010000000000001
10,4.143237287347967,4.142684459686279,0.001
11,4.143146558241411,4.142464637756348,0.0009972609476841367
12,4.143080971457741,4.142716884613037,0.0009890738003669028
13,4.143226666883989,4.143275260925293,0.0009755282581475768
14,4.143255233764648,4.142862319946289,0.0009567727288213003
15,4.1428093476728955,4.142753601074219,0.0009330127018922195
16,4.142887028780851,4.142725944519043,0.0009045084971874739
17,4.143213575536555,4.14286994934082,0.0008715724127386972
18,4.143188996748491,4.143061637878418,0.0008345653031794292
19,4.1429950540716,4.143557548522949,0.0007938926261462366
20,4.1431404027071865,4.142545223236084,0.00075
21,4.142965967004949,4.142845153808594,0.0007033683215379003
22,4.143230091441762,4.142850875854492,0.0006545084971874739
23,4.14318188753995,4.143119812011719,0.0006039558454088797
24,4.14323785088279,4.143223762512207,0.0005522642316338269
25,4.143028909509832,4.143071174621582,0.0005000000000000002
26,4.143147945404053,4.14347505569458,0.0004477357683661734
27,4.143341064453125,4.142746448516846,0.00039604415459112036
28,4.143129565499046,4.1427741050720215,0.0003454915028125264
29,4.1433374231511895,4.143224716186523,0.0002966316784621
30,4.143289956179532,4.142517566680908,0.00025000000000000017
31,4.1432860547846015,4.142877101898193,0.00020610737385376354
32,4.14334960417314,4.143102645874023,0.00016543469682057108
33,4.143172914331609,4.143198013305664,0.00012842758726130298
34,4.143152713775635,4.142944812774658,9.549150281252637e-05
35,4.14327335357666,4.143142223358154,6.698729810778068e-05
36,4.143195108933882,4.143008232116699,4.322727117869953e-05
37,4.143221811814741,4.143296241760254,2.447174185242324e-05
38,4.143262039531361,4.142917633056641,1.092619963309716e-05
39,4.143256881020286,4.142902374267578,2.7390523158633003e-06
40,4.143073428760875,4.143093585968018,0.0
